GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,NHS Non Return Rate,v_CA11N_265: Total recent immigrant population in private households by selected places of birth,v_CA11N_268: Americas,v_CA11N_304: Europe,v_CA11N_334: Africa,v_CA11N_373: Asia,v_CA11N_376: Philippines,v_CA11N_379: China,v_CA11N_382: India
5915001,CSD,Langley (DM),314.76313,104177,39114,37237,0.254,2175,240,295,105,1475,200,85,95
5915002,CSD,Langley (CY),10.22199,25081,11810,11315,0.24100000000000002,895,100,105,35,650,65,50,0
5915004,CSD,Surrey (CY),324.14162,468251,163986,152847,0.265,34880,1855,1340,1185,29745,5705,2955,14210
5915007,CSD,White Rock (CY),5.12413,19339,10498,9866,0.25,610,55,90,0,450,75,85,0
5915011,CSD,Delta (DM),196.58693,99863,35781,34755,0.222,3360,195,305,175,2485,390,220,1480
5915015,CSD,Richmond (CY),151.74655,190473,71170,67976,0.205,18685,610,735,115,17175,3320,10470,570
5915020,CSD,Greater Vancouver A (RDA),868.39849,13035,6063,5041,0.24,2365,165,210,40,1945,30,1290,30
5915022,CSD,Vancouver (CY),116.32627,603502,286742,264573,0.245,42230,4225,4655,750,31780,7860,12360,2180
5915025,CSD,Burnaby (CY),91.95551,223218,91383,86839,0.23600000000000002,19530,1320,1825,690,15565,2995,5875,995
5915029,CSD,New Westminster (CY),18.20297,65976,32605,30586,0.265,4555,430,955,280,2840,1140,535,290
5915034,CSD,Coquitlam (CY),129.69683,126456,48083,45553,0.225,8345,795,945,155,6425,970,1345,165
5915036,CSD,Belcarra (VL),5.46254,644,292,268,0.264,0,0,0,0,0,0,0,0
5915038,CSD,Anmore (VL),29.97659,2092,706,628,0.285,50,0,15,0,30,30,0,0
5915039,CSD,Port Coquitlam (CY),33.72652,56342,21533,20651,0.218,2505,295,575,180,1420,360,95,170
5915043,CSD,Port Moody (CY),26.33542,32975,12989,12628,0.24600000000000002,1940,260,445,70,1150,25,90,0
5915046,CSD,North Vancouver (DM),163.39359,84412,31741,30553,0.209,3430,325,790,170,2085,375,255,45
5915051,CSD,North Vancouver (CY),11.85274,48196,24206,22789,0.258,4000,265,735,120,2770,1070,130,120
5915055,CSD,West Vancouver (DM),88.75433,42694,18670,17074,0.27899999999999997,2995,220,320,20,2400,70,1020,0
5915062,CSD,Bowen Island (IM),50.53392,3402,1760,1345,0.51,80,0,55,0,15,0,0,0
5915065,CSD,Lions Bay (VL),2.53457,1318,556,507,0.48700000000000004,25,0,0,0,0,0,0,0
5915070,CSD,Pitt Meadows (CY),95.98686,17736,7013,6718,0.244,605,50,75,115,360,155,0,60
5915075,CSD,Maple Ridge (DM),284.51005,76052,29158,28044,0.267,1360,195,475,215,455,160,65,50
5915801,CSD,Semiahmoo (IRI),1.37134,108,75,63,0.24100000000000002,0,0,0,0,0,0,0,0
5915802,CSD,Tsawwassen (IRI),6.54776,720,319,303,0.364,0,0,0,0,0,0,0,0
5915803,CSD,Musqueam 2 (IRI),3.19919,1569,556,544,0.327,0,0,0,0,0,0,0,0
5915804,CSD,Coquitlam 2 (IRI),0.82455,5,1,1,,x,x,x,x,x,x,x,x
5915805,CSD,Coquitlam 1 (IRI),0.02195,39,13,13,,x,x,x,x,x,x,x,x
5915806,CSD,Burrard Inlet 3 (IRI),1.05651,1472,780,729,0.317,35,0,0,0,30,0,0,0
5915807,CSD,Mission 1 (IRI),0.27764,574,173,171,0.298,0,0,0,0,0,0,0,0
5915808,CSD,Capilano 5 (IRI),1.79039,2700,1375,1316,0.33,420,0,25,0,390,0,10,0
5915809,CSD,Barnston Island 3 (IRI),0.58363,0,1,1,,x,x,x,x,x,x,x,x
5915810,CSD,Musqueam 4 (IRI),0.53308,5,2,2,,x,x,x,x,x,x,x,x
5915811,CSD,Seymour Creek 2 (IRI),0.49049,107,33,31,0.18600000000000003,0,0,0,0,0,0,0,0
5915813,CSD,Katzie 2 (IRI),0.30729,0,1,1,,x,x,x,x,x,x,x,x
5915816,CSD,McMillan Island 6 (IRI),1.78376,68,26,23,0.129,0,0,0,0,0,0,0,0
5915825,CSD,Matsqui 4 (IRI),0.28012,498,284,280,0.429,0,0,0,0,0,0,0,0
5915830,CSD,Katzie 1 (IRI),0.4239,229,67,65,0.09699999999999999,0,0,0,0,0,0,0,0
5915835,CSD,Langley 5 (IRI),1.30383,0,0,0,,x,x,x,x,x,x,x,x
5915840,CSD,Whonnock 1 (IRI),0.38846,0,0,0,,x,x,x,x,x,x,x,x
